FOOD,ENERGY,CARBOHYDRATE,PROTEIN,FAT,CHOLESTEROL,FIBER,SODIUM
가래떡(떡국용),311,68.3,5.3,1,0,0,231
가래떡(떡볶이용),96,21,1.6,0.3,0,0,71
가자미,58,0.1,9.9,1.7,44.6,0,104
가자미구이,76,0.2,11.2,3.1,50.1,0,255
가자미조림,45.4,2.4,6.6,1.2,27,0.4,183
가지,6,1.6,0.3,0,0.3,0.2,1
가지나물,19,2.9,0.8,0.9,0.4,0.4,278
간장(왜간장),8,0.7,1.2,0,0,0,879
갈비구이,586,14.3,28.1,43.7,87.4,0.3,1093
갈비찜,262.2,3.5,13.7,20,43.2,0.1,413
갈비탕,362.5,20.7,16.5,22.3,49.9,0.6,992
갈치,60,0,7.4,3,28.8,0,40
갈치구이,110.4,0.1,11.3,6.8,44.1,0,331
갈치조림,37,1.8,4,1.5,13.8,0.3,120
갈치찌개,48.2,1.9,5.4,2.1,19.2,0.3,538
감(곶감),119,33,1.1,0.1,0,1.4,3
감(단감),37,10.4,0.4,0,0,0.4,6
감자,43,9.5,1.8,0,0,0.1,2
감자국,55.1,11.4,2.8,0.1,1.5,0.2,239
감자볶음,36.2,6,1.1,1,0.1,0.1,119
감자샐러드,64,9,1.7,2.5,7.1,0.2,316
감자조림,39,6.8,1.3,0.9,0,0.1,104
감자칩,239,23.6,2.5,16.7,0,0.5,117
강낭콩,11,2,0.7,0.1,0,0.1,0
개고기,144,0.4,10.5,11.1,20,0,40
건빵,104,18.5,2.2,2.4,0.5,0.1,116
검정콩,42,3.4,3.9,2,0,0.5,0.2
겨자,13,1,0.9,0.7,0,0.2,1
경단,144,30.7,2.5,1.1,0,0.2,111
고구마,90,21.8,1,0.1,0,0.6,11
고구마맛탕,266,48.1,2.5,8,0.1,1.7,18
고구마줄기,2,0.7,0.1,0,0,0.2,1
고구마튀김,72.4,11.7,0.7,2.8,0,0.2,58
고기만두,348.1,35,19.2,14.3,24.1,0.7,881
고들빼기,14,3.2,1.2,0.2,0,0.5,4
고등어,92,0,10.1,5.2,24,0,38
고등어(자반고등어),95,0.1,14.8,3.4,25.9,0,990
고등어구이,110.4,0,10.6,7.1,25.2,0,226
고등어조림,107,3.3,11.1,5.4,24.2,0.5,284
고등어찌개,66,2.5,6.7,3.3,14.6,0.3,225
고등어튀김,167.3,6.4,11.5,10,34.9,0,350
고사리,8,2,1,0,0,0.6,2
고사리(말린것),68,16.3,7.7,0.2,0,2.9,5
고사리나물,25.5,2.6,1.3,1.7,0,0.7,328
고추냉이(와사비),6,1.4,0.3,0.1,0,0.1,2
고추멸치볶음,30.3,2.3,2.7,1.2,5.8,0.1,112
고추볶음,16,1,0.7,1.3,0,0.2,111
고추장,27,7.5,1,0.1,0,0.5,596
고추장아찌,6.3,1.7,0.4,0.1,0,0.5,223
고추장아찌,5,1.5,0.3,0.1,0,0.4,192
고추튀김,42,2.2,0.5,3.7,0,0.2,254
고춧가루,5,1.1,0.3,0.2,0,0.4,0
고춧잎,2,0.3,0.1,0,0,0,0
골뱅이(통조림),34,1.6,6,0.3,45.6,0,209
골뱅이무침,82,10.5,8.3,1.1,55.8,0.6,421
곰보빵(소보로빵),263,39.6,6.2,9.2,18.9,0.3,162
곰탕(가정식),119,1.8,12.3,5.6,31,0.1,833
곰탕(외식),198,3.1,20.5,9.3,51.7,0.2,1388
곱창전골,127.5,11.9,8.8,5.8,85.5,1.1,572
과일탄산음료,123,31.8,0,0,0,0,5
광어매운탕,115,5.9,18.1,2.8,49,1.1,139
국밥,343.9,66.5,11.2,2.6,16.4,0.5,876
군만두,429,36.7,19,22.5,24,0.4,1068
굴,13,0.7,1.8,0.2,7.2,0,46
굴무침,23.3,1.7,1.6,1.3,5.7,0.2,156
굴비,266,0.3,35.5,12.2,0,0,330
귤,38,9.9,0.7,0.1,0,0.1,11
귤쥬스,78,20.8,0.4,0.2,0,0,26
근대,7,1.4,1,0.1,0.5,0.4,72
근대된장국,36.1,5.3,3.7,0.8,0.1,0.8,868
금귤,66,18,0.9,0.1,0,0.8,14
기장,22,4.5,0.7,0.1,0,0,0
김,2,0.9,0.7,0,0,0.1,0
김구이,3,0.9,0.9,0,0.5,0,29
김무침,74,5.7,5.2,6.2,2.3,0.4,363
김밥,306,57.4,9.2,4.2,64.5,0.7,601
김치(갓김치),14,3,1.4,0.3,0,0.6,319
김치(고들빼기김치),26,4.8,1.6,1.1,0,1,892
김치(깍두기),12,2.6,0.6,0.1,0,0.2,209
김치(깻잎김치),19,3.4,1.4,0.6,0,0.7,852
김치(나박김치),9,2.5,0.8,0.1,0,0.8,1256
김치(동치미),11,3,0.7,0.1,0,0.5,609
김치(무청김치),8,0.8,0.9,0.2,0,0,0
김치(배추김치),7,1.6,0.8,0.2,0,0.5,458
김치(백김치),7,1.8,0.6,0.1,0,0.5,380
김치(부추김치),21,3.3,1.9,0.8,0,0.9,916
김치(열무김치),13,3,1.1,0.2,0,0.5,218
김치(오이김치),16,3.2,1.2,0.3,0,0.5,803
김치(오이소박이),6,1.4,0.6,0.1,0,0.5,212
김치(총각김치),15,3,0.9,0.2,0,0.2,1211
김치(파김치),16,3.5,1,0.2,0,0.5,263
김치국,21.3,2.2,2.5,0.8,1.8,0.6,705
김치볶음,19.1,2,1,1.3,0,0.6,478
김치볶음밥,480.8,93,9.6,6.8,5,1.2,733
김치전,133.3,17.8,4.6,4.8,47.3,0.7,815
김치찌개,88.1,4,7.2,5.7,11.4,1,942
김튀김,208.2,25.8,7.5,11.6,2.9,0.6,172
깨(검정깨),11,0.3,0.4,1,0,0.1,0
깨(흰깨),12,0.4,0.4,1.1,0,0.1,0
깨소금,12,0.3,0.4,1.1,0,0.1,0
깻잎,5,1.2,0.6,0.1,0,0.3,0
깻잎장아찌,6,0.6,0.3,0,0,0.1,0
꼬막,20,0.3,3.5,0.5,13.4,0,0
꼬막찜,34,2,3.9,1.1,6.3,0.2,73
꽁치,74,0,8.8,3.9,31.1,0,36
꽁치구이,98,0.1,10,6,35.3,0,378
꽁치조림,60,1.8,6.6,2.8,21.6,0.3,137
꽃게,33,0.9,6.2,0.4,36,0,137
꽃게장,32,2.4,4.8,0.3,25.2,0.1,344
꽃게탕,98,7.1,14.4,1.5,70.6,0.6,874
꿀,59,15.9,0,0,0,0,1
낙지,33,0.1,6.9,0.4,52.8,0,136
낙지볶음,90,10.8,6.9,3,42.8,0.8,807
냉이,9,1.6,1.4,0.2,0,0.5,5
냉이된장국,43,5.1,4.6,1.1,2.9,0.8,891
넙치(광어),52,0.2,10.2,0.9,35.5,0,80
녹두,151,27.9,10,0.7,0,2.1,1
녹두묵,11,0,0,0,0,0,5
녹두빈대떡,198.4,21.8,9,8.8,7.9,1,591
녹차,2,0.3,0,0,0,0,8
녹차음료,2,0.4,0,0,0,0,9
누룽지,109.7,24.3,1.8,0.1,0,0.1,2
