인삼,칡,칡과 인삼에 많은 사포닌은 혈액을 맑게 하고 혈액순환을 활발하게 만드는 효능이 있다. 그래서 면역력을 높이고 암 발생을 억제하는 데도 효과적이다.
인삼,해삼,"인삼과 해삼을 넣어 만든 '쌍삼탕'은 궁합이 좋은 음식이다. 항암효과, 고혈압, 동맥경화, 심부전, 빈혈, 당뇨에 좋은 인삼의 성분과 해삼의 칼슘, 요오드, 양질의 단백질은 신진대사를 촉진하고 혈액을 정화하는 보양식으로 좋다."
인삼,엿기름,인삼의 쓴맛을 잡아주어 좋다. 주로 인삼조청으로 먹는다.
치자,밀가루,치자 밀가루 팩은 염좌나 염증을 가라앉힌다.
치자,마늘,지혈 및 소염작용에 좋다.
칡,미나리,해열작용 및 술독을 풀고 뇌혈류 상태를 개선한다.
칡,녹차,칡과 녹차를 배합하면 설사를 멈추는 효능이 증대된다.
황기,상황버섯,운동능력을 늘릴 수 있고 운동을 지나치게 한 후 피로를 빨리 풀 수 있다.
황기,당귀,피부를 윤택하게 하고 원기를 도우는 데 좋다.
황기,감초,고름을 나오게 하고 독을 없애며 새살을 돋게 한다.
강낭콩,달래,강낭콩과 달래는 궁합이 잘 맞다. 자양 효능도 더 커지고 특히 이뇨작용이 강화되어 부기가 잘 빠진다.
강낭콩,양파,강낭콩과 양파를 배합하면 심장병과 고혈압에 좋다. 강낭콩은 덩굴 줄기에 긴 깍지로 된 열매가 있고 그 속에 씨가 있어 이를 식용한다. 강낭콩은 밥에 넣어 먹거나 껍질을 벗기고 가루 내어 떡의 소나 고물로 쓰기도 한다. 풋열매를 깍지째 밀가루를 묻히고 달걀을 입혀 부쳐 먹어도 좋다.
강낭콩,당근,당뇨병성 지방간일 때는 인슐린의 원료가 되는 아연을 함유한 강낭콩을 당근과 함께 섞어서 음식을 만들어 먹으면 좋다.
검은콩,설탕,맛있다.
검은콩,흑임자,폴리페놀의 일종인 안토시아닌 성분이 검은색 색소에 들어 있어서 강력한 항산화작용을 한다.
검은콩,감초,감두탕은 검은콩(쥐눈이콩)과 감초를 넣어 끓인 단순한 처방인데 중금속이나 약물중독에 뛰어난 해독작용을 한다. 황제내경이나 동의보감 본초도경에도 언급되어있을정도로 검은콩의 해독능력은 뛰어나다. 옛날 황제들은 항상 독살에 대한불안감 때문에 감두탕을 일상으로 마셨다고 한다.
검은콩,현미식초,"식초가 콩에 풍부한 단백질의 소화흡수를 도우며, 체내의 세균번식을 억제하는 작용을 한다."
녹두,치자,녹두와 치자를 배합하면 갱년기장애로 얼굴에 홍조와 열감이 있고 땀이 나다가 어느새 한기를 느끼는 경우에 좋다.자율신경중추의 혼란이 혈관운동신경에 실조를 일으켜 야기된 증후들이다. 치자물을 들인 녹두지짐이 좋다.
녹두,대추,녹두와 대추를 배합하면 부종이나 배에 물이 차는 복수에 좋다.
녹두,팥,녹두와 팥을 배합하면 이뇨작용이 강해진다.
메밀,무,찬성 분을 가지고 있어 체질상 냉한 사람은 메밀을 먹으면 소화가 잘 안되고 배탈이 나기 쉽다. 메밀을 무와 함께 먹으면 메밀의 독성이 해독되며 소화도 잘 된다. 메밀의 찬성 분을 무의 따뜻한 성분과 잘 어울리기 때문이다. 메밀소바에 무즙을 올려 먹는 것 역시 그러한 이유다. 
