가식부 100g 당 (Per 100g Edible Portion),일반성분 Proximates,,,,무기질 Minerals,,,,,,,
식품명,칼로리,단백질,지방,"탄수
화물",칼슘,나트륨,철,인,칼륨,비타민 B1,비타민 B2,비타민 C
,kcal,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg
,,,,,,,,,,,,
식품명,Energy,Protein,Fat,Carbohydrate,Calcium,Sodium,Iron,P,K,VitaminB1,VitaminB2,VitaminC
"가다랑어, 생것",128,25.9,1.8,0.3,15,44,1.8,282,410,0.21,0.17,1
"가다랑어, 유지통조림",168,29,4.8,0.3,21,800,8,165,330,0.02,0.06,0
"가라지, 생것",78,14.8,1.3,0.7,35,0,1.7,217,0,0,0,0
"가리비, 관자, 냉동",105,20.8,0.8,2.4,10,254,1.3,56,369,0.04,0.1,3
"가리비, 관자, 삶아서 말린것",322,65.7,1.4,7.6,34,2500,1.2,610,810,0.12,0.3,0
"가리비, 관자, 생것",105,20.8,0.8,2.4,10,0,0.8,50,0,0.04,0.1,3
"가리비, 국자가리비, 생것",59,10.8,0.8,1.5,48,450,2,170,260,0,0.2,0
"가리비, 말린것",352,77.6,0.4,4.4,6,2300,3,85,960,0,0,0
"가리비, 비단가리비, 생것",76,14.5,1,1.4,61,0,3.2,163,0,0.03,0.32,1
"가리비, 삶은것",100,17.6,1.9,1.9,24,250,2.8,250,330,0.04,0.29,2
"가리비, 생것",80,15.18,1.73,0,65,735,2.95,110,221,0.13,0.1,2
"가리비, 큰가리비, 생것",60,12.3,0.82,0,31,371,0.92,113,200,0.02,0.25,0
"가리비, 통조림",112,21.6,0.3,4.4,45,500,1.4,112,250,0.02,0.15,0
"가리비, 튀긴것",216,18.07,10.94,10.13,42,464,0.82,236,333,0.042,0.11,2.3
"가물치, 생것",86,18.2,0.8,0.3,71,86,1.1,193,401,0.08,0.12,1
"가시망독, 생것",102,22.4,0.7,0,46,20,1.7,202,6,0.05,0.12,0
"가시오갈피, 순, 데친것",63,5.25,0.85,11.99,184,1,2.2,86,469,0.276,0.386,62.05
"가시오갈피, 순, 생것",76,5.67,0.7,15.87,211,1,3.43,104,678,0.213,0.615,100.73
"가오리, 나비가오리, 생것",80,17.3,0.7,0,882,0,1.2,533,0,0.04,0.09,0
"가오리, 노랑가오리, 생것",98,21.6,0.6,0,227,254,0.8,567,110,0.06,0.16,0
"가오리, 목탁가오리, 생것",99,22.2,0.5,0,685,0,1.3,388,0,0.03,0.06,0
"가오리, 전기가오리, 생것",65,13,1,0,67,0,1.2,167,0,0.02,0.12,0
"가오리, 조미하여 말린것",312,39.3,0.6,35.8,160,0,11.2,664,0,0.03,0.02,0
"가자미, 각시가자미, 생것",84,16.8,1.4,0,44,0,1.2,184,0,0.11,0.15,0
"가자미, 갈가자미, 생것",91,18.3,1.3,0.2,22,0,1.9,144,0,0,0,0
"가자미, 기름가자미, 생것",84,18.2,0.4,0.7,51,0,0.6,191,0,0,0,0
"가자미, 눈가자미, 생것",94,19.4,1.1,0.3,55,0,0.6,224,0,0,0,0
"가자미, 돌가자미, 생것",91,20,0.6,0,11,185,0.2,234,263,0.08,0.3,1
"가자미, 문치가자미, 생것",93,19.9,0.7,0.5,16,0,0.3,197,0,0.21,0.33,1
"가자미, 범가자미, 생것",83,18.2,0.2,0.8,18,0,0.2,237,0,0.1,0.21,1
"가자미, 생것",129,22.1,3.7,0.3,40,230,0.7,196,377,0.18,0.26,2
"가자미, 술봉가자미, 생것",84,16.8,1.4,0,44,0,1.2,184,0,0.11,0.15,0
"가자미, 용가자미, 생것",83,18.1,0.6,0.1,48,0,4,175,0,0,0,0
"가자미, 줄가자미, 생것",77,17.4,0.2,0.2,50,178,0.6,233,286,0.09,0.29,1
"가자미, 참가자미, 생것",86,19.4,0.2,0.4,21,0,0.5,250,0,0.18,0.33,1
"가재, 갯가재, 삶은것",93,15.1,3,0.3,44,440,3,125,280,0,0,0
"가재, 갯가재, 생것",87,16.1,1.7,0.8,149,0,1.2,238,0,0.26,0.1,0
"가재, 바닷가재, 생것",124,15.5,5.1,3,230,124,15.8,256,320,0.07,0.39,2
"가재, 바닷가재, 찐것",82,16.77,1.2,0,60,97,0.83,270,296,0.05,0.085,0.9
"가죽나물, 데친것",49,4.78,0.51,9.25,131,3,1.63,100,343,0.062,0.239,1.77
"가죽나물, 말린것",287,22.4,6.3,50.2,1051,0,12.8,249,998,0.82,1.67,0
"가죽나물, 생것",50,5.33,0.41,9.46,137,5,2.5,117,487,0.563,0.532,2.52
"가지, 데친것",19,1,0.1,4.4,17,1,0.32,27,179,0.018,0.086,0
"가지, 말린것",290,14.53,2.4,65.59,235,13,3.47,496,3471,0.125,0.772,0
"가지, 생것",19,1.13,0.03,4.36,16,0,0.26,35,232,0.035,0.163,0
"가지, 염절임",23,1.4,0.1,5.2,18,880,0.6,33,260,0.03,0.04,7
"각시수랑, 생것",70,15,0.3,0.9,29,0,2.1,107,0,0,0,0
"간장, 개량, 산분해",54,7.41,0.19,5.59,25,5476,1.09,127,422,0.193,0.536,0
"간장, 개량, 양조",103,9.15,0,16.54,25,4783,1.63,145,480,0.039,1.624,0
"간장, 재래",83,3.72,0.01,16.96,21,6128,0.19,46,456,0.065,0.29,3.27
간짜장,127,3.4,3.4,20.6,18,418,5.3,36,112,0.04,0.08,0
"갈래곰보, 생것",12,0.9,0.2,4.6,79,380,1.2,8,48,0,0.03,0
갈비탕,40,4.6,1.8,1.3,14,286,4.4,25,42,0.01,0.14,0
"갈색 거저리, 유충, 말린것",537,51.39,30.43,14.41,46,71,4.92,809,947,0.364,0.791,0
"갈색 거저리, 유충, 생것",195,23.19,11,0.83,14,32,1.99,273,313,0.027,0.401,0
"갈치, 동갈치, 생것",98,19.8,1.3,0.4,28,0,0.5,173,0,0,0,0
"갈치, 동동갈치, 생것",121,20,3.9,0,0,0,0,0,0,0,0,0
"갈치, 생것",147,18.5,7.5,0.1,46,100,1,191,260,0.13,0.11,1
"갈치, 염장",186,26.3,8.1,0.1,104,2056,1.8,242,281,0.15,0.25,0
"갈치젓, 염절임",179,10.4,14.9,0,10,0,12.6,286,0,0,0,0
감 주스,41,0.1,0.1,11,8,6,0,9,87,0.01,0.01,1
"감, 단감, 생것",51,0.41,0.04,13.66,6,0,0.15,15,132,0.057,0.051,13.95
"감, 대봉(갑주백목), 생것",70,0.6,0,18.9,18,2,3.6,23,214,0.06,0.07,18
"감, 둥시, 말린것",223,1.59,0.05,60.45,22,1,0.74,69,584,0,0.59,2.37
"감, 둥시, 생것",71,0.6,0.1,18.8,6,12,0.3,12,185,0.07,0.08,28
"감, 연시, 냉동",66,0,0.04,18.36,21,0,0,69,547,0.053,0.191,2.43
"감, 연시, 생것",65,0.29,0.04,17.76,8,1,0.12,23,171,0.028,0,1.22
"감, 잼, 단감",225,0.3,0.1,55.7,5,13,0.7,6,123,0.04,0.27,10
"감, 탈삽, 생것",63,0.5,0.1,16.9,7,1,0.1,16,200,0.02,0.02,55
"감말랭이, 말린것",255,1.94,0.16,68.61,21,3,0.64,78,647,0.01,0.224,5.11
"감잎차, 가루 ",335,12.2,2.8,67.5,740,0,22.6,115,0,0.45,0.6,10
"감자 과자, 감자칩, 구운것",469,5,18.2,71.4,125,554,0.8,274,721,0.34,0.07,0
"감자 과자, 감자칩, 튀긴것",536,4.95,30.33,60.92,20,342,1.14,193,818,0,0.012,15.34
감자 샐러드,143,2.68,8.2,11.17,19,529,0.65,52,254,0.077,0.06,10
"감자 튀김, 튀긴것",293,3.54,11.3,44.16,22,258,0.69,143,604,0.09,0.027,7.04
"감자 튀김, 해쉬브라운, 튀긴것",219,2.65,11.59,28.51,17,15,0.54,79,496,0.134,0.033,6.7
"감자, 대지, 구운것",90,2.43,0.09,20.5,11,1,0.61,46,482,0.029,0.019,9.8
"감자, 대지, 삶은것",77,2.07,0.08,17.39,8,1,0.65,35,374,0.04,0.022,9.92
"감자, 대지, 생것",67,2.01,0.04,15.08,9,1,0.58,33,412,0.06,0.027,10.51
"감자, 대지, 찐것",80,2.11,0.09,18.17,10,2,0.48,36,402,0.035,0.016,11.96
"감자, 로즈밸리, 삶은것",79,2.34,0.09,17.87,5,1,0.49,50,351,0.117,0.052,0
"감자, 로즈밸리, 생것",68,2.25,0.03,15.18,5,0,0.51,51,359,0.05,0.065,0
"감자, 보라밸리, 삶은것",69,1.39,0.05,15.97,7,2,0.34,59,386,0.064,0.015,5.64
"감자, 보라밸리, 생것",60,1.45,0.02,13.79,7,2,0.41,63,390,0.071,0.048,5.64
"감자, 부침가루 ",355,12.1,1.4,73.6,11,18,2,102,299,0.23,0.07,0
"감자, 수미, 구운것",85,2.3,0.08,19.38,8,0,0.52,73,394,0.038,0.022,12.38
"감자, 수미, 삶은것",76,1.99,0.04,17.43,8,1,0.61,55,254,0.038,0.02,13.1
"감자, 수미, 생것",70,1.93,0.03,16.07,6,1,0.4,62,335,0.034,0.038,4.47
"감자, 수미, 찐것",75,1.94,0.05,17.28,6,0,0.42,58,318,0.025,0.02,5.8
"감자, 자색, 생것",82,2.8,0,18.5,5,18,0.8,56,588,0.17,0.03,31
"감자, 자색, 찐것",85,2.3,0,19.5,9,18,0.7,52,498,0.16,0.03,0
"감자, 자심, 생것",64,1.8,0,14.7,4,4,1.7,37,482,0.14,0.04,19
"갓, 돌산갓, 생것",24,2.66,0.28,4.22,156,5,1.52,49,516,0,0.101,91
"갓, 생것",36,3.5,0.2,7.3,193,33,2.7,59,378,0.24,0.16,135
"강남조나물, 말린것",223,25.8,0.4,43.8,518,0,2.7,256,0,0.07,0.05,4
"강낭콩, 말린것",350,21.2,1.1,63.9,99,2,8.9,338,0,0.41,0.31,0
"강낭콩, 삶은것",170,8.46,0.9,31.9,59,3,2.89,270,575,0.329,0.112,2.12
"강낭콩, 생것",172,8.8,0.86,32.38,49,0,3.11,281,730,0.449,0.124,2.12
"강달이, 눈강달이, 생것",108,17,3.9,0.1,51,0,1.3,156,0,0.05,0.1,1
"강달이젓, 눈강달이젓, 염절임",106,14,5.1,0,730,0,10.1,397,0,0.12,0.29,0
"개구리고기, 생것",75,16.1,0.4,0.7,11,69,0.5,175,249,0.12,0.07,0
"개불, 생것",53,10.5,0.2,1.6,29,0,5.5,144,0,0.05,0.12,2
"개비름, 데친것",27,2.98,0.41,4.51,183,46,0.83,54,541,0.067,0.12,17.5
"개비름, 생것",23,2.72,0.29,3.96,133,65,1.42,56,670,0.01,0.158,6.47
"개암, 헤이즐넛, 말린것",659,19.8,58.5,13.4,312,0,3.7,784,967,0.07,0.22,0
"개암, 헤이즐넛, 볶은것",684,13.6,69.3,13.9,130,35,3,320,610,0.26,0.28,0
"갬추, 말린것",286,17.7,2,63.2,92,0,2.2,119,0,0.02,0.04,1
"갯기름나물, 노지, 데친것",44,3.62,0.57,8.54,187,2,0.88,80,191,0.032,0.279,19.45
"갯기름나물, 노지, 생것",41,3.94,0.32,7.95,200,3,1.47,74,204,0.051,0.477,19.45
"갯기름나물, 노지, 어린것, 데친것",53,4.11,0.8,10.17,179,3,1.07,102,579,0,0.333,38.08
"갯기름나물, 노지, 어린것, 생것",53,4.17,0.52,10.91,181,2,1.26,102,659,0.056,0.67,38.08
"갯기름나물, 하우스, 데친것",51,3.41,0.79,10.24,228,7,0.8,70,556,0,0.278,57.74
"갯기름나물, 하우스, 생것",50,3.12,0.44,10.75,226,9,0.77,67,661,0.078,0.284,57.74
"갯기름나물, 하우스, 어린것, 데친것",47,4.28,0.69,8.64,243,4,0.82,90,247,0.03,0.274,58.63
"갯기름나물, 하우스, 어린것, 생것",44,3.59,0.36,9.12,259,4,0.99,88,264,0.074,0.606,58.63
"거위 부산물, 간, 생것",133,16.37,4.28,6.32,43,140,30.53,261,230,0.562,0.892,4.5
"거위고기, 살코기, 구운것",238,28.97,12.67,0,14,76,2.87,309,388,0.092,0.39,0
"거위고기, 살코기, 생것",161,22.75,7.13,0,13,87,2.57,312,420,0.129,0.377,7.2
"거위알, 삶은것",187,12.7,13.6,1,41,45,2.5,70,76,0.06,0.32,0
"거위알, 생것",193,13.2,14.1,0.8,41,45,2.5,70,77,0.15,0.48,0
"검은비닐버섯, 말린것",177,20.1,2.7,62.1,20,0,6.9,213,0,0.57,1.83,0
"검은비닐버섯, 생것",13,1.8,0.1,4.5,2,3,1,64,215,0.17,0.21,5
"게, 꽃게, 생것",77,16.19,0.7,0.43,127,418,0.74,137,216,0.04,0.12,0
"게, 꽃게, 찐것",83,17.88,0.74,0,91,395,0.5,234,259,0.023,0.093,3.3
"게, 닭게, 삶은것",74,16.1,0.3,0.6,42,0,5.4,117,0,0,0.03,0
"게, 닭게, 생것",70,15.2,0.5,0.1,95,0,0.8,179,0,0.2,0.37,0
"게, 대게, 삶아서 말린것",316,66.7,2.6,2,669,0,3.9,681,0,0.1,0.1,1
"게, 대게, 삶은것",69,15,0.6,0.1,120,240,0.7,150,240,0.21,0.57,0
